ID lon lat   lonIJ latIJ depthIJ   dist[km]
P0150 289.2617 -25.7227   289.2625 -25.7208 118.7   0.223
P0151 289.2335 -25.8374   289.2375 -25.8375 150.4   0.401
P0152 289.2788 -25.9630   289.2792 -25.9625 183.1   0.067
P0153 289.2704 -26.0708   289.2708 -26.0708 191.6   0.044
P0154 289.2541 -26.1244   289.2542 -26.1208 213.6   0.397
P0155 289.2113 -26.2625   289.2125 -26.2625 209.2   0.120
P0156 289.1798 -26.4031   289.1792 -26.4042 222.5   0.135
P0157 289.1911 -26.4839   289.1875 -26.4875 234.7   0.538
P0158 289.2399 -26.5465   289.2375 -26.5458 207.2   0.250
P0159 289.2321 -26.6121   289.2292 -26.6125 241.1   0.296
P0160 289.1250 -26.7666   289.1292 -26.7625 467.7   0.617
P0161 289.1077 -26.8297   289.1042 -26.8292 321.5   0.356
P0162 289.1115 -26.8720   289.1125 -26.8708 195.4   0.164
P0163 289.1106 -26.9486   289.1125 -26.9458 183.7   0.361
P0164 289.0870 -27.0392   289.0875 -27.0375 231.3   0.196
P0165 289.0125 -27.1131   289.0125 -27.1125 193.2   0.067
P0166 288.9871 -27.1378   288.9875 -27.1375 180.1   0.052
P0167 289.0115 -27.1792   289.0125 -27.1792 206.9   0.099
P0168 288.9956 -27.2559   288.9958 -27.2542 210.2   0.195
P0169 288.9790 -27.3212   288.9792 -27.3208 238.5   0.044
P0170 288.9772 -27.3783   288.9792 -27.3792 199.2   0.217
P0171 288.9804 -27.4628   288.9792 -27.4625 268.3   0.126
P0172 288.9529 -27.5147   288.9542 -27.5125 208.6   0.275
P0173 288.9761 -27.5955   288.9792 -27.5958 208.4   0.305
P0174 288.9081 -27.7210   288.9042 -27.7208 343.5   0.388
P0175 288.8729 -27.8881   288.8708 -27.8875 269.3   0.214
P0176 288.8102 -28.0285   288.8125 -28.0292 230.2   0.238
P0177 288.7745 -28.1003   288.7708 -28.1042 421.1   0.562
P0178 288.7705 -28.2161   288.7708 -28.2125 257.8   0.402
P0179 288.7487 -28.2798   288.7458 -28.2792 205.8   0.290
P0180 288.7419 -28.4043   288.7458 -28.4042 150.5   0.386
P0181 288.6955 -28.4188   288.6958 -28.4208 238.3   0.229
P0182 288.6734 -28.4628   288.6708 -28.4625 224.0   0.254
P0183 288.6899 -28.5292   288.6875 -28.5292 157.3   0.235
P0184 288.6740 -28.6296   288.6708 -28.6292 221.3   0.313
P0185 288.6052 -28.7518   288.6042 -28.7542 158.9   0.282
P0186 288.5376 -28.7666   288.5375 -28.7625 302.8   0.457
P0187 288.4872 -28.7969   288.4875 -28.7958 376.5   0.122
P0188 288.4844 -28.8577   288.4875 -28.8542 159.5   0.496
P0189 288.4604 -28.9820   288.4625 -28.9792 116.9   0.376
P0190 288.4538 -29.1060   288.4542 -29.1042 155.7   0.207
P0191 288.4508 -29.2040   288.4542 -29.2042 149.7   0.328
P0192 288.4259 -29.3125   288.4292 -29.3125 146.7   0.317
P0193 288.5209 -29.3959   288.5208 -29.3958 153.5   0.010
P0194 288.5869 -29.4197   288.5875 -29.4208 142.4   0.139
P0195 288.5966 -29.5185   288.5958 -29.5208 193.7   0.270
P0196 288.5915 -29.5876   288.5875 -29.5875 201.3   0.388
P0197 288.5966 -29.6726   288.5958 -29.6708 317.3   0.210
P0198 288.6306 -29.7349   288.6292 -29.7375 211.3   0.321
P0199 288.6462 -29.8435   288.6458 -29.8458 193.0   0.262
P0200 288.5961 -29.8916   288.5958 -29.8875 215.9   0.458
P0201 288.5811 -29.9542   288.5792 -29.9542 224.8   0.187
P0202 288.5403 -30.0466   288.5375 -30.0458 225.7   0.283
P0203 288.4710 -30.1758   288.4708 -30.1792 193.5   0.375
P0204 288.3873 -30.2015   288.3875 -30.2042 194.8   0.298
P0205 288.3196 -30.2792   288.3208 -30.2792 164.4   0.119
P0206 288.2923 -30.3873   288.2958 -30.3875 333.4   0.340
P0207 288.2631 -30.5019   288.2625 -30.5042 160.0   0.259
P0208 288.2609 -30.5652   288.2625 -30.5625 123.4   0.338
P0209 288.2727 -30.7514   288.2708 -30.7542 137.1   0.356
P0210 288.2743 -30.9376   288.2708 -30.9375 360.0   0.331
P0211 288.2805 -31.0101   288.2792 -31.0125 183.7   0.296
P0212 288.2828 -31.1253   288.2792 -31.1292 290.9   0.553
P0213 288.3104 -31.2697   288.3125 -31.2708 412.7   0.237
P0214 288.3491 -31.3878   288.3458 -31.3875 176.3   0.312
P0215 288.3731 -31.5373   288.3708 -31.5375 208.2   0.216
P0216 288.3311 -31.5848   288.3292 -31.5875 225.4   0.352
P0217 288.3488 -31.7047   288.3458 -31.7042 176.3   0.287
P0218 288.3663 -31.7511   288.3625 -31.7542 171.2   0.496
P0219 288.3952 -31.8194   288.3958 -31.8208 141.8   0.171
P0220 288.4256 -31.9457   288.4292 -31.9458 125.1   0.338
P0221 288.4105 -32.0556   288.4125 -32.0542 219.3   0.247
P0222 288.4043 -32.0957   288.4042 -32.0958 189.8   0.019
P0223 288.4257 -32.1996   288.4292 -32.1958 151.3   0.532
P0224 288.4651 -32.2882   288.4625 -32.2875 215.3   0.257
P0225 288.4359 -32.4402   288.4375 -32.4375 210.7   0.336
P0226 288.4182 -32.4962   288.4208 -32.4958 173.9   0.251
P0227 288.3773 -32.5818   288.3792 -32.5792 343.5   0.342
P0228 288.3561 -32.6718   288.3542 -32.6708 185.1   0.211
