285.8474	-41.0805
285.8376	-41.1322
285.8331	-41.224
285.7565	-41.2382
285.7582	-41.3126
285.7753	-41.4039
285.8158	-41.4836
285.8402	-41.5433
285.804	-41.5826
285.7633	-41.6794
285.721	-41.7708
285.5791	-41.8291
285.4708	-41.8623
285.4034	-41.9022
285.3201	-41.9434
285.3257	-42.054
285.3282	-42.1064
285.3043	-42.1991
285.3806	-42.2383
285.3887	-42.3523
285.3951	-42.3948
285.3961	-42.4455
285.4535	-42.4879
285.4733	-42.5789
285.4062	-42.6119
285.3459	-42.5954
285.2955	-42.6286
285.225	-42.6834
285.1811	-42.7595
285.0996	-42.8257
285.0292	-42.8995
285.0289	-43.0044
285.0591	-43.1288
285.0547	-43.2135
285.0655	-43.2788
285.0163	-43.359
284.9844	-43.4128
284.9205	-43.4318
284.8372	-43.4981
284.8039	-43.6026
284.8929	-43.6147
284.9442	-43.6556
284.9993	-43.7041
285.0704	-43.7629
285.0265	-43.8477
284.9211	-43.8594
284.846	-43.9169
284.8543	-43.9915
284.883	-44.0292
284.9885	-44.0727
285.18333	-44.133333
285.15	-44.25
285.03333	-44.25
284.9262	-44.2814
284.8536	-44.2686
284.7491	-44.2673
284.7265	-44.3406
284.7238	-44.4048
284.7218	-44.4531
284.7186	-44.6039
284.7554	-44.685
284.672	-44.7225
284.5042	-44.7937
284.508	-44.8542
284.632	-44.9274
284.7881	-45.0201
285	-45.083333
285.13333	-45.233333
284.91667	-45.366667
284.8	-45.283333
284.7294	-45.2571
284.6898	-45.2875
284.6238	-45.3453
284.6339	-45.4122
284.6369	-45.4556
284.6041	-45.5143
284.5542	-45.5624
284.5197	-45.6295
284.4831	-45.6959
284.4665	-45.7541
284.4739	-45.8296
284.4395	-45.8848
284.5173	-45.9158
284.5709	-45.9706
284.5618	-46.0373
284.5381	-46.1266
284.5038	-46.1957
284.5744	-46.2334
284.6461	-46.2744
284.6756	-46.3127
284.6044	-46.3922
284.495	-46.4273
284.4432	-46.4658
284.4385	-46.5182
284.3961	-46.5927
284.3854	-46.6385
284.3527	-46.7196
284.3628	-46.8037
284.4042	-46.8458
284.3995	-46.8877
284.4916	-46.971
284.4594	-47.0201
284.4645	-47.0621
284.4507	-47.1245
284.453	-47.2199
284.5068	-47.304
284.4943	-47.4284
284.4191	-47.5532
284.3695	-47.6535
284.3685	-47.7372
284.2826	-47.8706
284.2917	-47.9876
284.1805	-48.0049
284.1029	-48.1731
284.102	-48.2618
284.0706	-48.371
284.1164	-48.4871
284.0681	-48.5741
284.1113	-48.7056
284.0623	-48.896
284.0126	-49.0272
284.0547	-49.1788
284.0784	-49.3552
284.0868	-49.4957
284.0995	-49.7087
284.1872	-49.9545
284.1729	-50.2464
284.0874	-50.4617
283.9504	-50.5622
283.9001	-50.8087
283.954	-50.9212
284.0915	-51.0918
284.1948	-51.2881
284.3149	-51.4296
284.1935	-51.5476
284.1377	-51.7587
284.2003	-51.9545
284.3647	-52.2439
284.6491	-52.4545
284.6816	-52.5948
284.7491	-52.7763
284.9264	-52.9309
285.0704	-53.0205
285.2131	-53.2119
285.4391	-53.4526
285.5968	-53.5387
285.6796	-53.712
285.8174	-53.8403
286.0624	-53.9505
286.2544	-54.0251
286.4512	-54.0477
286.5796	-54.1901
286.7547	-54.2232
286.8106	-54.3383
286.7794	-54.4376
286.6491	-54.6044
286.8166	-54.7374
287.0201	-54.819
287.2012	-54.9147
287.404	-54.9584
287.7512	-54.9982
287.9622	-55.0954
288.1835	-55.1414
288.3329	-55.0793
288.5545	-55.0704
288.7215	-55.1066
288.8363	-55.3033
289.0998	-55.5088
289.4436	-55.6869
289.8032	-55.91
290.0286	-56.0189
290.1957	-56.1722
290.3669	-56.3206
290.6879	-56.4489
290.9707	-56.5924
291.3585	-56.6498
291.687	-56.7332
291.9799	-56.7564
292.4353	-56.705
292.6909	-56.571
292.9375	-56.4446
293.1708	-56.2497
293.3547	-56.1481
293.5221	-55.9712
293.6556	-55.829
293.7757	-55.6625
293.8353	-55.4871
294.0299	-55.2959
293.918	-55.1655
294.0128	-55.0825
294.2792	-55.0879
294.4504	-55.0494
294.6095	-55.0068
294.7154	-54.9791
294.9043	-54.929
295.0798	-54.9398
295.2848	-54.9391
295.6163	-54.9338
296.0265	-54.8644
298.15	-62.85
298.1833333	-62.58333333
298.4333333	-62.43333333
298.7833333	-62.35
299.1294	-62.279
299.4078	-62.1798
299.8881	-62.14
300.2177	-62.0152
300.7	-61.9
301.1833333	-61.9
301.7	-61.78333333
302.3	-61.78333333
250.6124	-27.0536
250.6898	-27.078
250.7216	-27.0895
250.7708	-27.1375
250.6868	-27.1523
250.6207	-27.1918
250.5697	-27.2275
250.5267	-27.1823
250.5666667	-27.13333333
250.5882	-27.1042
279.8713	-26.24
279.9135	-26.2614
279.953	-26.2918
280.0463	-26.2628
280.0631	-26.2972
280.096	-26.3237
280.138	-26.3404
280.137	-26.3811
280.1706	-26.4911
280.0623	-26.4016
279.9957	-26.3587
279.9303	-26.3553
279.866	-26.334
279.8456	-26.2958
279.21667	-33.716667
279.26667	-33.766667
279.3	-33.833333
279.25	-33.816667
279.2	-33.8
279.16667	-33.75
281.0921	-33.5494
281.1377	-33.5707
281.1906	-33.6098
281.2413	-33.6253
281.2747	-33.692
281.275	-33.7209
281.2262	-33.7211
281.1956	-33.7444
281.1543	-33.7463
281.1128	-33.7431
281.0241	-33.7681
280.925	-33.7254
280.9127	-33.6866
280.9703	-33.6518
281.019	-33.6137
281.0246	-33.5792
289.66667	-18.483333
289.66667	-18.466667
289.68333	-18.466667
289.76667	-19.616667
289.76667	-19.583333
289.76667	-19.6
289.78333	-19.616667
289.78333	-19.583333
289.83333	-20.216667
289.83333	-20.2
289.83333	-20.233333
289.833333	-20.18333333
289.85	-20.2
289.85	-20.183333
289.78333	-20.816667
289.78333	-20.8
289.8	-20.816667
289.8	-20.8
289.76667	-22.1
289.76667	-22.083333
289.78333	-22.1
289.78333	-22.083333
289.78333	-22.066667
289.8	-22.083333
289.8	-22.066667
289.51667	-23.083333
289.53333	-23.1
289.53333	-23.083333
289.55	-23.1
289.55	-23.083333
289.56667	-23.083333
289.56667	-23.666667
289.56667	-23.65
289.56667	-23.633333
289.56667	-23.616667
289.58333	-23.666667
289.58333	-23.65
289.58333	-23.633333
289.58333	-23.616667
289.6	-23.633333
289.6	-23.616667
289.5	-25.05
289.5	-25.033333
289.5	-25.016667
289.5	-25
289.5	-24.983333
289.51667	-25.05
289.51667	-25.033333
289.51667	-25.016667
289.51667	-25
289.51667	-24.983333
289.48333	-25.4
289.48333	-25.383333
