1417
0.00 288.316 -31.09537 29.00 10 10 3.00 22.10 94.00 0.00
0.00 288.421 -31.09537 33.30 10 10 2.80 24.10 98.00 0.00
0.00 288.526 -31.09537 37.90 10 10 2.70 25.70 89.00 0.00
0.00 288.632 -31.09537 42.90 10 10 2.60 27.00 86.00 0.00
0.00 288.737 -31.09537 48.10 10 10 2.60 27.70 94.00 0.00
0.00 288.842 -31.09537 53.40 10 10 2.70 27.90 98.00 0.00
0.00 288.947 -31.09537 58.60 10 10 2.80 27.60 96.00 0.00
0.00 289.053 -31.09537 63.80 10 10 3.00 26.90 97.00 0.00
0.00 287.474 -31.18529 9.40 10 10 4.50 7.00 93.00 1.61
0.00 287.579 -31.18529 10.80 10 10 4.40 8.30 99.00 2.80
0.00 287.684 -31.18529 12.40 10 10 4.30 9.80 89.00 3.04
0.00 287.789 -31.18529 14.20 10 10 4.10 11.50 96.00 1.47
0.00 287.895 -31.18529 16.40 10 10 3.80 13.40 91.00 3.32
0.00 288 -31.18529 19.00 10 10 3.60 15.50 98.00 2.89
0.00 288.105 -31.18529 22.00 10 10 3.30 17.70 92.00 0.90
0.00 288.211 -31.18529 25.40 10 10 3.10 19.90 85.00 1.55
0.00 288.316 -31.18529 29.20 10 10 2.80 22.10 94.00 0.00
0.00 288.421 -31.18529 33.50 10 10 2.60 24.10 99.00 0.00
0.00 288.526 -31.18529 38.10 10 10 2.40 25.80 89.00 0.00
0.00 288.632 -31.18529 43.20 10 10 2.30 27.00 95.00 0.00
0.00 288.737 -31.18529 48.30 10 10 2.20 27.70 94.00 0.00
0.00 288.842 -31.18529 53.60 10 10 2.20 27.90 98.00 0.00
0.00 288.947 -31.18529 58.90 10 10 2.20 27.60 94.00 0.00
0.00 289.053 -31.18529 64.10 10 10 2.30 26.90 94.00 0.00
0.00 287.368 -31.27520 8.30 10 10 4.40 5.90 97.00 2.17
0.00 287.474 -31.27520 9.50 10 10 4.40 7.10 90.00 2.68
0.00 287.579 -31.27520 10.90 10 10 4.40 8.40 100.00 3.30
0.00 287.684 -31.27520 12.50 10 10 4.20 9.90 87.00 2.48
0.00 287.789 -31.27520 14.40 10 10 4.10 11.60 97.00 1.75
0.00 287.895 -31.27520 16.60 10 10 3.90 13.50 96.00 2.64
0.00 288 -31.27520 19.20 10 10 3.60 15.50 98.00 3.25
0.00 288.105 -31.27520 22.20 10 10 3.30 17.70 98.00 1.50
0.00 288.211 -31.27520 25.60 10 10 3.00 20.00 91.00 1.48
0.00 288.316 -31.27520 29.40 10 10 2.70 22.20 94.00 0.00
0.00 288.421 -31.27520 33.70 10 10 2.40 24.10 86.00 0.00
0.00 288.526 -31.27520 38.30 10 10 2.20 25.80 100.00 0.00
0.00 288.632 -31.27520 43.30 10 10 2.00 27.00 86.00 0.00
